Year,Fmin,Fmean,Fmax,TIME,HOUR,Manual.ID,Main.Habitat
2023,51454.172,54445.812,61103.094,28:54.1,2,chocolate,Wet Heathland
2023,42208.945,46687.223,63471.48,27:37.1,2,scot,Wet Heathland
2023,50878.367,54523.562,64305.32,29:08.3,2,chocolate wattled,Wet Heathland
2023,50456.59,53991.992,61455.031,30:12.5,2,chocolate wattled,Wet Heathland
2023,40000.18,42057.562,49935.012,31:42.8,2,scot,Wet Heathland
2023,51395.859,55038.074,64974.473,33:07.6,2,chocolate wattled,Wet Heathland
2023,39183.387,41370.148,46406.531,35:31.7,2,scot,Wet Heathland
2023,50922.559,54733.73,63886.066,36:59.8,2,chocolate wattled,Wet Heathland
2023,56297.906,59052.516,67252.867,38:18.5,2,little bentwing,Wet Heathland
2023,39318.438,40734.684,46061.566,35:16.2,2,scot,Wet Heathland
2023,39257.527,40587.898,44280.637,35:18.7,2,scot,Wet Heathland
2023,40107.012,43054.301,53675.797,35:39.7,2,scot,Wet Heathland
2023,39478.383,40835.324,48822.277,2:42:31,2,scot,Wet Heathland
2023,40038.414,41698.852,48957.355,42:32.5,2,scot,Wet Heathland
2023,39577.305,41186.461,46554.598,42:35.2,2,scot,Wet Heathland
2023,50960.789,54200.672,62717.672,44:59.1,2,chocolate wattled,Wet Heathland
2023,51926.113,55231.258,64952.641,43:55.6,2,chocolate wattled,Wet Heathland
2023,51073.996,54481.496,63588.84,45:23.3,2,chocolate wattled,Wet Heathland
2023,52123.312,54913.531,61326.891,49:42.2,2,Noise,Wet Heathland
2023,52073.836,54984.547,62802.77,52:30.3,2,chocolate wattled,Wet Heathland
2023,39731.078,41064.672,47430.746,2:46:08,2,scot,Wet Heathland
2023,39604.477,41445.691,49688.828,46:25.1,2,scot,Wet Heathland
2023,52310.305,55967.488,66153.766,54:54.1,2,chocolate,Wet Heathland
2023,51531.801,54687.758,64313.926,55:50.2,2,chocolate,Wet Heathland
2023,51953.891,54299.77,61911.062,57:04.6,2,chocolate,Wet Heathland
2023,56259.781,58776.871,65384.066,57:18.1,2,White Striped,Wet Heathland
2023,50590.992,54223.039,64393.859,57:42.1,2,chocolate,Wet Heathland
2023,34552.039,36967.527,46388.879,59:23.4,2,scot,Wet Heathland
2023,39566.344,41673.305,49744.297,01:15.8,3,scot,Wet Heathland
2023,39885.312,42895.77,57072.457,01:25.1,3,scot,Wet Heathland
2023,39310.047,41106.418,45323.105,58:23.3,2,scot,Wet Heathland
2023,40699.234,47371.977,67580.789,58:24.7,2,scot,Wet Heathland
2023,38895.574,40585.977,47862.305,05:17.3,3,scot,Wet Heathland
2023,39251.168,40464.812,45507.797,3:04:58,3,scot,Wet Heathland
2023,38741.602,39912.754,44625.227,05:01.7,3,scot,Wet Heathland
2023,37436.223,39642.152,42732.207,02:45.3,3,scot,Wet Heathland
2023,39356.766,41755.055,52276.543,02:46.4,3,scot,Wet Heathland
2023,38846.156,40292.059,46450.23,02:53.1,3,scot,Wet Heathland
2023,38717.77,41548.945,54055.352,03:29.7,3,scot,Wet Heathland
2023,38556.496,40096.145,46430.504,03:31.2,3,scot,Wet Heathland
2023,40272.066,41506.844,45843.086,03:33.4,3,scot,Wet Heathland
2023,39508.836,40349.43,42107.594,03:34.9,3,scot,Wet Heathland
2023,39135.207,40680.031,47270.883,3:05:06,3,scot,Wet Heathland
2023,39734.918,41904.738,49930.941,05:09.4,3,scot,Wet Heathland
2023,38888.629,40345,47154.648,06:12.4,3,scot,Wet Heathland
2023,39325.789,41646.07,48308.559,06:17.3,3,scot,Wet Heathland
2023,39194.941,40874.215,46623.863,07:07.0,3,scot,Wet Heathland
2023,39316.582,40574.328,44224.961,07:10.6,3,scot,Wet Heathland
2023,39120.504,39882.055,42285.766,3:07:20,3,scot,Wet Heathland
2023,38931.547,40861.316,48912.406,07:20.7,3,scot,Wet Heathland
2023,38575.309,39823.887,44166.418,07:23.6,3,scot,Wet Heathland
2023,39456.824,40842.984,45179.574,08:12.2,3,scot,Wet Heathland
2023,39904.93,41036.586,43626.07,08:15.2,3,scot,Wet Heathland
2023,39029.035,40602.895,44649.945,08:16.1,3,scot,Wet Heathland
2023,39608.336,40788.605,44518.898,06:53.6,3,scot,Wet Heathland
2023,40207.348,41692.949,47291.27,06:58.0,3,scot,Wet Heathland
2023,39217.57,40064.891,42302.141,08:01.6,3,scot,Wet Heathland
2023,38874.504,40329.344,45413.891,08:02.6,3,scot,Wet Heathland
2023,39335.484,42208.109,53047.094,08:04.6,3,scot,Wet Heathland
2023,40254.762,43004.383,56146.082,09:52.2,3,scot,Wet Heathland
2023,40772.168,42385.691,47466.938,10:49.3,3,scot,Wet Heathland
2023,40503.188,45748.297,64024.426,10:11.9,3,scot,Wet Heathland
2023,40834.805,45429.656,62522.305,10:17.4,3,scot,Wet Heathland
2023,40081.859,43624.496,53724.039,3:10:23,3,scot,Wet Heathland
2023,40035.559,42308.492,50275.168,10:24.7,3,scot,Wet Heathland
2023,39445.215,40804.215,46529.719,11:50.7,3,scot,Wet Heathland
2023,40048.473,41555.879,45061.973,14:51.1,3,scot,Wet Heathland
2023,39122.391,40705.234,47268.074,14:54.0,3,scot,Wet Heathland
2023,39579.465,41064.699,46492.891,3:11:59,3,scot,Wet Heathland
2023,38840.5,39736.523,42340.969,12:02.1,3,scot,Wet Heathland
2023,57209.57,61648.734,73726.672,12:15.5,3,little bentwing,Wet Heathland
2023,39310.629,40853.449,47798.578,16:23.1,3,scot,Wet Heathland
2023,38826.199,40381.578,47258.531,16:31.6,3,scot,Wet Heathland
2023,38861.547,40550.848,47446.723,17:11.8,3,scot,Wet Heathland
2023,39360.344,41495.965,49917.965,20:30.2,3,scot,Wet Heathland
2023,39804.609,41321.445,47173.324,25:24.6,3,scot,Wet Heathland
2023,40173.625,41503.859,45503.074,25:26.6,3,scot,Wet Heathland
2023,57274.34,60406.172,70758.305,24:09.4,3,little bentwing,Wet Heathland
