Long,FOLDER,IN FILE,Year,OFFSET,DURATION,Fmin,Fmean,Fmax,DATE,TIME,HOUR,DATE-12,TIME-12,HOUR-12,TOP1MATCH*,TOP1DIST,TOP2MATCH,TOP2DIST,TOP3MATCH,TOP3DIST,VOCALIZATIONS,MANUAL ID,Lat,Long,Main Habitat,REVIEW USERID,INPATHMD5
E:\Josh Output,,ANM100_20230803_230154_000.wav,2024,1.704002,0.460319,26391.188,26764.43,27141.053,3/08/2023,01:55.7,23,3/08/2023,01:55.7,11,NOISE,0.103934,cluster.01,0.224004,cluster.03,0.501739,1,NOISE,-26.502079,153.080228,suburb,,NFpFZ/1NSQ+RTG/a0gMO4w==
E:\Josh Output,,ANM100_20240816_233235_000.wav,2024,0.115645,6.360038,26522.797,26842.742,27220.709,16/08/2024,32:35.1,23,16/08/2024,32:35.1,11,NOISE,0.107644,cluster.01,0.212614,cluster.03,0.512396,1,NOISE,-26.502079,153.080228,suburb,,8CzKrMQET2ZZQ4EVPOZlrg==
E:\Josh Output,long calls,ANM100_20240816_233235.wav,2024,0.115645,6.360038,26522.797,26842.742,27220.709,16/08/2024,32:35.1,23,16/08/2024,32:35.1,11,NOISE,0.107644,cluster.01,0.212614,cluster.03,0.512396,1,NOISE,-26.502079,153.080228,suburb,,4UfD8Bxs+mvfI5/mYNbJtg==
E:\Josh Output,,ANM100_20240816_233122_000.wav,2024,0.017378,2.632638,26650.482,26989.08,27437.832,16/08/2024,31:22.0,23,16/08/2024,31:22.0,11,NOISE,0.108165,cluster.01,0.242114,cluster.03,0.486406,1,NOISE,-26.502079,153.080228,suburb,,OZ0U8VORBNBEt0enCJKK9w==
E:\Josh Output,long calls,ANM100_20240816_233122.wav,2024,0.017378,2.632638,26650.482,26989.08,27437.832,16/08/2024,31:22.0,23,16/08/2024,31:22.0,11,NOISE,0.108165,cluster.01,0.242114,cluster.03,0.486406,1,NOISE,-26.502079,153.080228,suburb,,BDDg8HWY3gPI8z3sX5523A==
E:\Josh Output,,ANM100_20240816_233026_000.wav,2024,0.084533,5.621583,26088.691,26399.635,26831.578,16/08/2024,30:26.1,23,16/08/2024,30:26.1,11,NOISE,0.110432,cluster.01,0.352197,cluster.03,0.381029,1,NOISE,-26.502079,153.080228,suburb,,sDl2hLgYXlwCU8cHqUoICw==
E:\Josh Output,long calls,ANM100_20240816_233026.wav,2024,0.084533,5.621583,26088.691,26399.635,26831.578,16/08/2024,30:26.1,23,16/08/2024,30:26.1,11,NOISE,0.110432,cluster.01,0.352197,cluster.03,0.381029,1,NOISE,-26.502079,153.080228,suburb,,RpHx/vvmsca7KbRqASK8+w==
E:\Josh Output,,ANM100_20240816_233520_000.wav,2024,0.000758,3.181901,26767.98,27057.693,27433.213,16/08/2024,23:35:20,23,16/08/2024,11:35:20,11,NOISE,0.114749,cluster.01,0.18271,cluster.02,0.506854,1,NOISE,-26.502079,153.080228,suburb,,LWOvJ8IG1fG8BTzcwtQujw==
E:\Josh Output,long calls,ANM100_20240816_233520.wav,2024,0.000758,3.181901,26767.98,27057.693,27433.213,16/08/2024,23:35:20,23,16/08/2024,11:35:20,11,NOISE,0.114749,cluster.01,0.18271,cluster.02,0.506854,1,NOISE,-26.502079,153.080228,suburb,,zh4Mvwse+yeIMuGGdrx+JA==
E:\Josh Output,,ANM100_20240816_232830_000.wav,2024,1.196268,3.457515,26594.752,26814.758,27299.643,16/08/2024,28:31.2,23,16/08/2024,28:31.2,11,NOISE,0.122105,cluster.01,0.237037,cluster.03,0.506682,1,NOISE,-26.502079,153.080228,suburb,,h1v6reXVa2CZW8l6szHavA==
E:\Josh Output,long calls,ANM100_20240816_232830.wav,2024,1.196268,3.457515,26594.752,26814.758,27299.643,16/08/2024,28:31.2,23,16/08/2024,28:31.2,11,NOISE,0.122105,cluster.01,0.237037,cluster.03,0.506682,1,NOISE,-26.502079,153.080228,suburb,,HgLyKMWKR56za1I6u5+MJw==
E:\Josh Output,,ANM100_20230803_230154_000.wav,2024,2.752074,1.692698,25959.48,26220.756,26515.322,3/08/2023,01:56.8,23,3/08/2023,01:56.8,11,NOISE,0.122834,cluster.03,0.320189,cluster.01,0.394603,1,NOISE,-26.502079,153.080228,suburb,,NFpFZ/1NSQ+RTG/a0gMO4w==
E:\Josh Output,,ANM100_20240816_233012_000.wav,2024,0.014151,1.660176,25998.666,26523.275,27158.154,16/08/2024,30:12.0,23,16/08/2024,30:12.0,11,NOISE,0.126562,cluster.01,0.253872,cluster.03,0.489201,1,NOISE,-26.502079,153.080228,suburb,,DoqxVPodT1gSSeFiP2dFaA==
E:\Josh Output,long calls,ANM100_20240816_233012.wav,2024,0.014151,1.660176,25998.666,26523.275,27158.154,16/08/2024,30:12.0,23,16/08/2024,30:12.0,11,NOISE,0.126562,cluster.01,0.253872,cluster.03,0.489201,1,NOISE,-26.502079,153.080228,suburb,,JgN8A4RBnyQ8FcOfzru86Q==
E:\Josh Output,,ANM100_20240816_232927_000.wav,2024,0.00077,2.109389,26673.836,27044.766,27435.568,16/08/2024,23:29:27,23,16/08/2024,11:29:27,11,NOISE,0.126735,cluster.01,0.173331,cluster.02,0.495836,1,NOISE,-26.502079,153.080228,suburb,,HMNECKCIqrXcpch1kFK8tw==
E:\Josh Output,long calls,ANM100_20240816_232927.wav,2024,0.00077,2.109389,26673.836,27044.766,27435.568,16/08/2024,23:29:27,23,16/08/2024,11:29:27,11,NOISE,0.126735,cluster.01,0.173331,cluster.02,0.495836,1,NOISE,-26.502079,153.080228,suburb,,bSmPtwR7v4Rc5GxTHFxODg==
