Translations
Ozimops ridei
Austronomus australis
Nyctophilus sp
Ozimops lumsdenae
Miniopterus australis
35khz
38khz
Vespadelus sp
Rhinolophus megaphyllus
Miniopterus orianae
Chalinolobus morio
Chalinolobus gouldi
Saccolaimus flaviventris
Noise
Myotis macropus
Unidentified call
