INDIR,FOLDER,IN FILE,Year,OFFSET,DURATION,Fmin,Fmean,Fmax,DATE,TIME,HOUR,DATE-12,TIME-12,HOUR-12,TOP1MATCH*,TOP1DIST,TOP2MATCH,TOP2DIST,TOP3MATCH,TOP3DIST,VOCALIZATIONS,MANUAL ID,Lat,Long,Main Habitat,REVIEW USERID,INPATHMD5
E:\Katrin,,KATRIN_20240920_040219_000.wav,2024,0.372234,1.487945,56613.797,58161.496,62871.062,20/09/2024,02:19.4,4,19/09/2024,02:19.4,16,Miniaus,0.150222,cluster.01,1.405927,cluster.23,1.406895,1,Miniaus,-26.679499,171.107683,Suburb,,LCbk275h5UTPgcTboI+9jA==
E:\Katrin,,KATRIN_20241012_001607_000.wav,2024,0.11053,3.7971,56266.195,58659.605,65757.672,12/10/2024,16:07.1,0,11/10/2024,16:07.1,12,Miniaus,0.155832,cluster.01,1.405924,cluster.23,1.407013,1,Miniaus,-26.679499,172.107683,Suburb,,8K3k/HifHwtYpqh9RN+rJw==
E:\Katrin,,KATRIN_20241005_225711_000.wav,2024,4.247132,3.692294,56118.32,57907.414,64305.23,5/10/2024,57:15.2,22,5/10/2024,57:15.2,10,Miniaus,0.155913,cluster.01,1.405924,cluster.23,1.407013,1,Miniaus,-26.679499,173.107683,Suburb,,kutJhiGcD83+khWFhW0xBw==
E:\Katrin,,KATRIN_20241005_034238_000.wav,2024,0.00056,3.426559,55877.781,58254.812,63027.008,5/10/2024,3:42:38,3,4/10/2024,15:42:38,15,Miniaus,0.157082,cluster.01,1.405928,cluster.23,1.407029,1,Miniaus,-26.679499,174.107683,Suburb,,iY5HReQNazmZfWLxaDSiUQ==
E:\Katrin,,KATRIN_20241007_032429_000.wav,2024,0.89958,4.810446,55749.066,58238.742,64672.055,7/10/2024,24:29.9,3,6/10/2024,24:29.9,15,Miniaus,0.157559,cluster.01,1.40594,cluster.08,1.407063,1,Miniaus,-26.679499,175.107683,Suburb,,Jp2sz57z9NK5mSvgXc+haQ==
E:\Katrin,,KATRIN_20241005_222304_000.wav,2024,0.905414,2.934989,56461.035,58748.961,66433.438,5/10/2024,23:04.9,22,5/10/2024,23:04.9,10,Miniaus,0.159736,cluster.01,1.40593,cluster.08,1.407063,1,Miniaus,-26.679499,176.107683,Suburb,,INq4cv41MokhBVyEzw+q0Q==
E:\Katrin,,KATRIN_20241005_034953_000.wav,2024,0.338206,2.863217,55564.078,58057.137,63645.262,5/10/2024,49:53.3,3,4/10/2024,49:53.3,15,Miniaus,0.160729,cluster.01,1.405926,cluster.23,1.406925,1,Miniaus,-26.679499,177.107683,Suburb,,LHNl/8m+QjvXXBB+GtViIA==
E:\Katrin,,KATRIN_20240927_022214_000.wav,2024,0.061392,4.021641,56224.293,58634.844,67102.195,27/09/2024,22:14.1,2,26/09/2024,22:14.1,14,Miniaus,0.161366,cluster.01,1.405928,cluster.08,1.407063,1,Miniaus,-26.679499,178.107683,Suburb,,0LsR1NdYRCMnZJvWYlJxYg==
E:\Katrin,,KATRIN_20240927_212119_000.wav,2024,0.000471,3.082148,55517.637,57901.082,65223.75,27/09/2024,21:21:19,21,27/09/2024,9:21:19,9,Miniaus,0.161431,cluster.01,1.405926,cluster.08,1.407063,1,Miniaus,-26.679499,179.107683,Suburb,,y4cfzXJr1sfOKS2W8er3wA==
E:\Katrin,,KATRIN_20240924_013912_000.wav,2024,0.000606,2.39467,55704.219,58117.441,65291.348,24/09/2024,1:39:12,1,23/09/2024,13:39:12,13,Miniaus,0.161712,cluster.01,1.405927,cluster.23,1.407054,1,Miniaus,-26.679499,180.107683,Suburb,,Djf6KzhZMfArOnt9bnmDnA==
